timestamp,th-%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%89%E0%B8%B5%E0%B8%94%E0%B9%80%E0%B8%82%E0%B9%89%E0%B8%B2%E0%B8%AB%E0%B8%A5%E0%B8%AD%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%94%E0%B8%B3,th-%E0%B8%8A%E0%B9%87%E0%B8%AD%E0%B8%81,th-%E0%B8%9B%E0%B8%A7%E0%B8%94%E0%B8%A8%E0%B8%B5%E0%B8%A3%E0%B8%A9%E0%B8%B0,th-%E0%B8%9B%E0%B8%A7%E0%B8%94%E0%B9%83%E0%B8%99%E0%B8%82%E0%B9%89%E0%B8%AD,th-%E0%B8%9C%E0%B8%B7%E0%B9%88%E0%B8%99,th-%E0%B8%9E%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B9%80%E0%B8%8B%E0%B8%95%E0%B8%B2%E0%B8%A1%E0%B8%AD%E0%B8%A5,th-%E0%B8%A2%E0%B8%B2%E0%B8%86%E0%B9%88%E0%B8%B2%E0%B9%81%E0%B8%A1%E0%B8%A5%E0%B8%87,th-%E0%B8%A2%E0%B8%B2%E0%B8%95%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B9%84%E0%B8%A7%E0%B8%A3%E0%B8%B1%E0%B8%AA,th-%E0%B8%A2%E0%B8%B8%E0%B8%87,th-%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%9A%E0%B8%A7%E0%B8%A1,th-%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%AD%E0%B8%B1%E0%B8%81%E0%B9%80%E0%B8%AA%E0%B8%9A,th-%E0%B8%AD%E0%B8%B2%E0%B8%81%E0%B8%B2%E0%B8%A3%E0%B8%84%E0%B8%B1%E0%B8%99,th-%E0%B9%80%E0%B8%81%E0%B8%A5%E0%B9%87%E0%B8%94%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%99%E0%B9%89%E0%B8%AD%E0%B8%A,th-%E0%B9%80%E0%B8%A5%E0%B8%B7%E0%B8%AD%E0%B8%94%E0%B8%AD%E0%B8%AD%E0%B8%81,th-%E0%B9%82%E0%B8%A3%E0%B8%84%E0%B8%AA%E0%B8%A1%E0%B8%AD%E0%B8%87%E0%B8%88%E0%B8%B2%E0%B8%81%E0%B8%95%E0%B8%B1%E0%B8%9A,th-%E0%B9%84%E0%B8%82%E0%B9%89,th-combined,th
12/11/07 10:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,33761
12/11/07 11:00,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,36180
12/11/07 12:00,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,35952
12/11/07 13:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,37516
12/11/07 14:00,0,0,0,0,0,1,0,5,4,0,0,0,0,0,0,0,0,36872
12/11/07 15:00,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,29899
12/11/07 16:00,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,21098
12/11/07 17:00,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,13406
12/11/07 18:00,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,8797
12/11/07 19:00,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6487
12/11/07 20:00,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6304
12/11/07 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5280
12/11/07 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4688
12/11/07 23:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4136
12/12/07 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3974
12/12/07 1:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7623
12/12/07 2:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18606
12/12/07 3:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,28632
12/12/07 4:00,0,0,0,0,0,10,0,1,7,0,0,0,0,0,0,0,0,37723
12/12/07 5:00,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,38859
12/12/07 6:00,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,38821
12/12/07 7:00,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,44150
12/12/07 8:00,0,0,0,0,0,3,0,2,8,0,0,0,0,0,0,0,0,43207
12/12/07 9:00,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,34062
12/12/07 10:00,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,33069
12/12/07 11:00,0,0,0,0,0,3,0,0,10,0,0,0,0,0,0,0,0,35345
12/12/07 12:00,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,36628
12/12/07 13:00,0,0,0,0,0,1,0,5,2,0,0,1,0,0,0,0,0,36988
12/12/07 14:00,0,0,0,0,0,2,0,1,4,0,0,2,0,0,0,0,0,37078
12/12/07 15:00,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,29434
12/12/07 16:00,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,20861
12/12/07 17:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14335
12/12/07 18:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9135
12/12/07 19:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6143
12/12/07 20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5183
12/12/07 21:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3664
12/12/07 22:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3715
12/12/07 23:00,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4860
12/13/07 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4719
12/13/07 1:00,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5639
12/13/07 2:00,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,13009
12/13/07 3:00,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,26938
12/13/07 4:00,0,0,0,0,0,2,0,5,1,0,0,0,0,0,0,0,0,31653
12/13/07 5:00,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,37605
12/13/07 6:00,0,0,0,0,0,5,0,2,7,0,0,0,0,0,0,0,0,35291
12/13/07 7:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,42118
12/13/07 8:00,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,44182
12/13/07 9:00,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,44691
12/13/07 10:00,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,39373
12/13/07 11:00,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,34983
12/13/07 12:00,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,33561
12/13/07 13:00,0,0,0,0,0,5,0,0,6,0,0,4,0,0,0,0,0,34582
12/13/07 14:00,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,34926
12/13/07 15:00,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,28733
12/13/07 16:00,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,20503
12/13/07 17:00,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,13086
12/13/07 18:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8974
12/13/07 19:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6286
12/13/07 20:00,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,5691
12/13/07 21:00,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3910
12/13/07 22:00,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3779
12/13/07 23:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4203
12/14/07 0:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4535
12/14/07 1:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6941
12/14/07 2:00,0,0,0,0,0,1,1,0,11,0,0,0,0,0,0,0,0,13037
